Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
174,[674.37363093],[111.88239114],[87.94381657],[93.67244285],[115.2986413],[159.58263375],[7.00605973],[57.25499454],[41.73265106]
175,[633.10794145],[104.86018566],[98.95313348],[64.90197106],[95.30092177],[61.31562698],[-0.50676234],[79.990669],[128.29219583]
176,[649.52605956],[93.48877011],[86.13665697],[101.20341992],[92.72520702],[88.92914447],[7.06108315],[94.63727902],[85.34449889]
177,[639.27501439],[92.40354204],[80.05416411],[73.4778766],[121.48054037],[50.41578243],[5.173734],[153.18476132],[63.08461353]
178,[366.49041455],[85.0486457],[43.1235991],[30.35241362],[46.29331995],[21.25151552],[-25.43113511],[85.69732375],[80.15473203]
179,[706.39523682],[82.06441394],[65.12509706],[127.92542553],[137.18384256],[84.63239968],[15.04978202],[78.70845321],[115.70582283]
180,[624.78033938],[114.09439478],[128.97259266],[82.42054659],[46.74797365],[78.21328772],[3.72246778],[74.18936704],[96.41970915]
181,[631.30583838],[99.9544354],[82.85060744],[129.04231054],[56.59915069],[93.87800024],[3.74200613],[78.70613589],[86.53319204]
182,[652.69626325],[96.21332076],[60.6752303],[142.65368554],[87.83350129],[64.8075416],[3.00405649],[101.87092813],[95.63799916]
183,[593.1342892],[59.58328913],[69.45184646],[110.55145271],[75.71943458],[84.74425715],[6.22832923],[57.69860635],[129.1570736]
184,[79.97168818],[-5.52721105],[-1.52944396],[67.9412454],[-31.39369856],[23.39644422],[-57.07990879],[-8.15911351],[92.32337442]
185,[670.87449484],[87.65312308],[87.57071873],[78.78417614],[124.64725875],[55.53941572],[-0.15817141],[103.03642503],[133.80154879]
186,[745.70181109],[87.78206851],[47.68204716],[130.77607163],[94.64902172],[131.91996096],[6.27622391],[174.65411154],[71.96230567]
187,[-279.50413168],[21.5594951],[-13.04473364],[9.37988775],[-45.67810633],[-54.5849591],[-108.00625844],[-40.31849795],[-48.81095907]
188,[692.46203439],[80.32545237],[82.82214386],[138.71606913],[97.08630897],[112.81727824],[0.94683546],[107.57483067],[72.17311568]
